,REG,EDULEV,CLETAS,C59AB,C59,C73,SG11,COND3,COND10,COEFF
2219,10,5,9,011,002,006,2,1,1,3825
2220,10,2,9,   ,   ,   ,1,3,6,3825
2221,10,3,9,002,002,004,1,1,1,3825
2256,9,6,15,010,   ,000,1,1,1,11092
2257,9,5,11,002,002,007,2,1,1,11092
2258,9, ,3,   ,   ,   ,2,3,9,11092
2262,11,5,13,   ,   ,   ,1,3,8,3500
2263,9,3,8,002,002,007,1,1,1,8836
2264,9,3,7,   ,   ,   ,2,3,8,8836
2265,9, ,2,   ,   ,   ,1,3,9,8836
2266,9,3,13,002,002,006,2,1,1,8836
2267,9,3,5,   ,   ,   ,2,3,8,8836
2279,10,5,9,005,002,008,1,1,1,4817
2280,10,5,8,   ,   ,   ,2,3,8,4817
2281,10, ,2,   ,   ,   ,2,3,9,4817
2283,9,3,11,011,002,008,2,1,1,5342
2284,9,3,5,   ,   ,   ,2,3,8,5342
2288,11,1,17,   ,   ,   ,1,3,10,3779
2289,11,1,16,   ,   ,   ,2,3,10,3779
2298,9,2,17,   ,   ,   ,1,3,10,7620
2345,10,5,15,   ,   ,   ,1,3,10,2920
2346,10,5,14,   ,   ,   ,2,3,8,2920
2347,9,5,11,005,002,010,1,1,1,8416
2353,9,5,11,002,002,009,1,1,1,9791
2354,9,5,11,005,002,008,2,1,1,9791
2355,9, ,4,   ,   ,   ,2,3,9,9791
2381,12,1,17,   ,   ,   ,2,3,10,8590
2385,10,5,16,   ,   ,   ,1,3,10,2058
2390,10,6,9,009,002,007,2,1,1,6593
2426,11,2,17,   ,   ,   ,2,3,10,3227
2428,9,5,7,011,002,008,2,1,1,25703
2429,9,5,8,004,002,006,1,1,1,25703
2430,9, ,1,   ,   ,   ,1,3,9,25703
2440,12,1,17,   ,   ,   ,2,3,10,8753
2441,9,5,17,   ,   ,   ,2,3,10,5586
2442,9,5,12,005,002,009,1,1,1,5586
2472,9,6,16,   ,   ,   ,2,3,10,7145
2514,10,5,15,   ,   ,   ,1,3,10,1836
2515,10,3,17,   ,   ,   ,2,3,10,1836
2524,9,3,15,010,   ,005,1,1,1,9599
2525,9,4,14,   ,   ,   ,2,3,8,9599
2587,10,2,16,   ,   ,   ,1,3,10,1988
2588,10,3,15,   ,   ,   ,2,3,10,1988
2609,12,2,17,   ,   ,   ,1,3,10,9592
2610,12,2,17,   ,   ,   ,2,3,10,9592
2621,10,2,17,   ,   ,   ,1,3,10,2112
2622,10,2,17,   ,   ,   ,2,3,10,2112
2623,10,5,11,010,   ,008,1,1,1,2112
2624,10,5,6,   ,   ,   ,1,3,8,2112
2653,9,2,17,   ,   ,   ,2,3,10,8337
2665,10,5,9,002,002,008,1,1,1,3699
2666,10,6,8,002,002,009,2,1,1,3699
2667,10, ,2,   ,   ,   ,1,3,9,3699
2668,10, ,1,   ,   ,   ,1,3,9,3699
2712,11,4,16,   ,   ,   ,2,3,10,1873
2713,12,3,17,   ,   ,   ,1,3,10,16456
2714,12,3,17,   ,   ,   ,2,3,10,16456
2715,12,6,13,005,002,010,2,1,1,16456
2718,10,3,8,002,002,006,1,1,1,2835
2719,10,5,8,   ,   ,   ,2,2,2,2835
2749,12,5,13,005,002,008,2,1,1,14786
2756,12,2,17,   ,   ,   ,2,3,10,8572
2772,12,5,12,008,002,007,1,1,1,17397
2785,12,5,17,   ,   ,   ,1,3,10,3935
2786,12,5,8,010,   ,010,1,1,1,43850
2808,10,5,12,003,002,007,2,1,1,2746
2814,11,4,15,   ,   ,   ,2,3,10,5026
2826,12,2,15,   ,   ,   ,2,3,10,10692
2835,12,5,12,005,002,010,2,1,1,4240
2836,12,3,17,   ,   ,   ,2,3,10,27873
2838,9,5,10,011,002,007,2,1,1,8052
2839,9,3,9,007,002,008,1,1,1,8052
